,	PUNCT	,
cachent	NOUN	cachent
mariage	NOUN	mariage
comment	ADV	comment
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
la	DET	le
encombrent	VERB	encombrer
décroché	VERB	décrocher
d'	ADP	de
d'	ADP	de
me	PRON	me
rester	VERB	rester
demander	VERB	demander
fille	NOUN	fille
de	ADP	de
était	AUX	être
pannes	NOUN	panne
par	ADP	par
issue	ADJ	issu
il	PRON	il
je	PRON	je
qui	PRON	qui
pu	VERB	pouvoir
,	PUNCT	,
vies	NOUN	vie
savais	NOUN	savai
autres	ADJ	autre
rappeler	VERB	rappeler
en	PRON	en
secrètes	ADJ	secret
cette	DET	ce
Marie-Louise	PROPN	Marie-Louise
de	ADP	de
de	ADP	de
.	PUNCT	.
premier	ADJ	premier
plus	ADV	plus
dans	ADP	dans
Haute	PROPN	Haute
à	ADP	à
me	PRON	me
une	DET	un
Tout	ADV	tout
.	PUNCT	.
,	PUNCT	,
—	PUNCT	—
trahissait	VERB	trahir
quatre	NUM	quatre
ans	NOUN	an
ma	DET	mon
en	ADP	en
la	DET	le
qui	PRON	qui
.	PUNCT	.
eu	VERB	avoir
avait	AUX	avoir
parlant	VERB	parler
énergique	ADJ	énergique
mère	NOUN	mère
...	PUNCT	...
sonore	ADV	sonore
caractère	NOUN	caractère
,	PUNCT	,
maintenue	VERB	maintenir
clouée	VERB	clouer
l'	PRON	l'
le	DET	le
son	DET	son
fauteuil	NOUN	fauteuil
voix	NOUN	voix
d'	ADP	de
décès	NOUN	décès
un	DET	un
son	DET	son
en	PRON	en
paralysie	NOUN	paralysie
avait	AUX	avoir
domicile	NOUN	domicile
de	ADP	de
la	DET	le
,	PUNCT	,
après	ADP	après
—	VERB	—
et	CCONJ	et
veille	NOUN	veille
et	CCONJ	et
lieu	NOUN	lieu
,	PUNCT	,
fournissant	VERB	fournir
:	PUNCT	:
avec	ADP	avec
bien	ADV	bien
interlocutrice	NOUN	interlocuteur
me	PRON	me
père	NOUN	père
son	DET	son
de	ADP	de
!	PUNCT	!
C'	PRON	ce
.	PUNCT	.
,	PUNCT	,
les	DET	le
sordide	ADJ	sordide
mon	DET	mon
entendis	NOUN	entendi
ça	PRON	cela
les	DET	le
,	PUNCT	,
Je	PRON	je
aussitôt	ADV	aussitôt
précisions	NOUN	précision
mort	NOUN	mort
sur	ADP	sur
!	PUNCT	!
»	PUNCT	»
comme	ADP	comme
des	ADP	de
«	NOUN	«
reprendre	VERB	reprendre
circonstances	NOUN	circonstance
est	AUX	être
pompes	NOUN	pompe
cette	DET	ce
pour	ADP	pour
discutait	VERB	discuter
assez	ADV	assez
l'	PRON	l'
Arrête	VERB	arrête
funèbres	ADJ	funèbre
à	ADP	à
ces	DET	ce
marchandages	NOUN	marchandage
employés	NOUN	employé
des	DET	un
son	DET	son
récit	NOUN	récit
crier	VERB	crier
?	PUNCT	?
un	DET	un
que	SCONJ	que
,	PUNCT	,
histoire	NOUN	histoire
,	PUNCT	,
d'	ADP	de
alors	ADV	alors
honte	NOUN	honte
révolte	NOUN	révolte
commencement	NOUN	commencement
.	PUNCT	.
frappait	VERB	frapper
N'	ADV	n'
et	CCONJ	et
-elle	PRON	lui
puanteur	ADJ	puanteur
gifle	NOUN	gifle
une	DET	un
cafards	NOUN	cafard
,	PUNCT	,
comme	ADP	comme
ma	DET	mon
de	ADP	de
Crasse	PROPN	Crasse
colère	NOUN	colère
autre	ADJ	autre
fin	NOUN	fin
avoir	VERB	avoir
chaque	DET	chaque
le	DET	le
retrouvai	VERB	retrouver
