je	PRON	je
—	PUNCT	—
.	PUNCT	.
Ça	PRON	cela
?	PUNCT	?
surpris	VERB	surprendre
ami	NOUN	ami
par	ADP	par
pense	VERB	pense
.	PUNCT	.
qui	PRON	qui
sûr	ADJ	sûr
Shelley	PROPN	Shelley
Jenna	PROPN	Jenna
silence	NOUN	silence
tu	SCONJ	tu
que	SCONJ	que
son	DET	son
A	NOUN	a
lentement	ADV	lentement
imaginer	VERB	imaginer
me	PRON	me
attend	VERB	attendre
non	ADV	non
plaisir	NOUN	plaisir
un	DET	un
bébé	NOUN	bébé
Bien	ADV	bien
,	PUNCT	,
de	ADP	de
,	PUNCT	,
très	ADV	très
n'	ADV	n'
longtemps	ADV	longtemps
que	SCONJ	que
lui	PRON	lui
finalement	ADV	finalement
côté	NOUN	côté
fait	VERB	faire
longtemps	ADV	longtemps
oublier	VERB	oublier
place	NOUN	place
,	PUNCT	,
dit	VERB	dire
moment	NOUN	moment
elle	PRON	lui
regarda	NOUN	regarda
Douze	NOUN	douze
à	ADP	à
Oui	PROPN	Oui
...	PUNCT	...
.	PUNCT	.
fauteuil	NOUN	fauteuil
.	PUNCT	.
à	ADP	à
Raphaël	PROPN	Raphaël
un	DET	un
le	DET	le
Mais	CCONJ	mais
je	PRON	je
ans	NOUN	an
resta	VERB	rester
Jenna	PROPN	Jenna
pas	ADV	pas
prendre	VERB	prendre
-il	PRON	il
silencieux	ADJ	silencieux
dans	ADP	dans
arrive	VERB	arrive
de	ADP	de
.	PUNCT	.
—	PUNCT	—
m'	PRON	me
un	DET	un
ça	PRON	cela
a	AUX	avoir
quitté	VERB	quitter
Il	PRON	il
...	PUNCT	...
fait	VERB	faire
qu'	SCONJ	que
,	PUNCT	,
.	PUNCT	.
un	DET	un
Il	PRON	il
,	PUNCT	,
tout	DET	tout
meilleur	ADJ	meilleur
attendait	VERB	attendre
.	PUNCT	.
il	PRON	il
tête	NOUN	tête
avait	AUX	avoir
cherché	VERB	chercher
parlé	VERB	parler
d'	ADP	de
hocha	VERB	hocher
à	ADP	à
son	DET	son
histoire	NOUN	histoire
ce	DET	ce
mais	CCONJ	mais
était	AUX	être
de	ADP	de
qu'	PRON	qu'
.	PUNCT	.
Raphaël	PROPN	Raphaël
Christopher	PROPN	Christopher
moment	NOUN	moment
douloureux	ADJ	douloureux
oublier	VERB	oublier
ne	ADV	ne
était	AUX	être
nouvelle	NOUN	nouvelle
la	DET	le
à	ADP	à
lui	PRON	lui
.	PUNCT	.
La	DET	le
ami	NOUN	ami
prix	NOUN	prix
cette	DET	ce
évident	ADJ	évident
avait	AUX	avoir
très	ADV	très
qu'	SCONJ	que
il	PRON	il
il	PRON	il
bébé	NOUN	bébé
rarement	ADV	rarement
venait	VERB	venir
que	SCONJ	que
elle	PRON	lui
faisait	VERB	faire
-	PUNCT	-
.	PUNCT	.
eut	VERB	avoir
-t	PART	-t
apprendre	VERB	apprendre
essaies	NOUN	essaie
douze	NOUN	douze
—	PUNCT	—
trouver	VERB	trouver
?	PUNCT	?
a	AUX	avoir
!	PUNCT	!
souvenirs	NOUN	souvenir
petit	ADJ	petit
murmura	PRON	murmura
enfant	NOUN	enfant
.	PUNCT	.
Tu	SCONJ	tu
,	PUNCT	,
eu	VERB	avoir
depuis	ADP	depuis
tous	ADJ	tout
comprends	VERB	comprendre
ses	DET	son
—	PUNCT	—
Mais	CCONJ	mais
rire	NOUN	rire
savoir	VERB	savoir
tu	NOUN	tu
disparu	VERB	disparaître
.	PUNCT	.
Raphaël	PROPN	Raphaël
si	SCONJ	si
Je	PRON	je
a	AUX	avoir
-il	PRON	il
un	DET	un
cet	DET	ce
pas	ADV	pas
Jenna	PROPN	Jenna
Pourquoi	ADV	pourquoi
de	ADP	de
la	PRON	le
aimerais	VERB	aimer
resurgir	VERB	resurgir
n'	ADV	n'
ans	NOUN	an
.	PUNCT	.
on	PRON	on
veux	ADJ	veux
,	PUNCT	,
appel	NOUN	appel
depuis	ADP	depuis
je	PRON	je
Comment	ADV	comment
ridicule	ADJ	ridicule
un	DET	un
retrouve	NOUN	retrouve
inspecteur	NOUN	inspecteur
de	ADP	de
les	DET	le
Il	PRON	il
je	PRON	je
de	ADP	de
que	SCONJ	que
—	PUNCT	—
pour	ADP	pour
à	ADP	à
veux	PRON	veux
épaules	NOUN	épaule
quelqu'	DET	quelque
tu	SCONJ	tu
Tu	ADP	tu
que	SCONJ	que
savoir	VERB	savoir
qu'	SCONJ	que
temps	NOUN	temps
?	PUNCT	?
Raphaël	PROPN	Raphaël
toujoursretrouver	VERB	toujoursretrouver
la	DET	le
police	NOUN	police
Christopher	VERB	christopher
?	PUNCT	?
peut	VERB	pouvoir
fasse	VERB	faire
suffisamment	ADV	suffisamment
.	PUNCT	.
.	PUNCT	.
haussa	ADP	haussa
sois	AUX	être
Tu	SCONJ	tu
es	DET	es
Interpol	PROPN	Interpol
-	NOUN	-
pas	ADV	pas
.	PUNCT	.
Ne	ADV	ne
se	PRON	se
de	ADP	de
Jenna	PROPN	Jenna
.	PUNCT	.
aurait	AUX	avoir
les	DET	le
suffit	VERB	suffire
de	ADP	de
évidence	NOUN	évidence
mit	VERB	mettre
,	PUNCT	,
il	PRON	il
il	PRON	il
Il	PRON	il
Raphaël	PROPN	Raphaël
depuis	ADP	depuis
contempler	VERB	contempler
voulu	VERB	vouloir
.	PUNCT	.
Christopher	PROPN	Christopher
à	ADP	à
avait	AUX	avoir
l'	DET	le
vouloir	VERB	vouloir
nouveau	ADJ	nouveau
.	PUNCT	.
Il	PRON	il
dut	VERB	devoir
longtemps	ADV	longtemps
raison	NOUN	raison
et	CCONJ	et
à	ADP	à
se	PRON	se
l'	PRON	l'
.	PUNCT	.
de	ADP	de
rendre	VERB	rendre
étoiles	NOUN	étoile
fait	VERB	faire
vraiment	ADV	vraiment
de	ADP	de
S'	SCONJ	s'
la	DET	le
son	DET	son
enfant	NOUN	enfant
avait	AUX	avoir
le	PRON	le
trace	NOUN	trace
.	PUNCT	.
retrouver	VERB	retrouver
il	PRON	il
presque	ADV	presque
argent	NOUN	argent
vie	NOUN	vie
doté	VERB	doter
dans	ADP	dans
était	AUX	être
d'	ADP	de
un	DET	un
ami	NOUN	ami
homme	NOUN	homme
d'	ADP	de
.	PUNCT	.
niché	VERB	nicher
de	ADP	de
une	DET	un
réussi	ADV	réussi
était	AUX	être
réputation	NOUN	réputation
ce	PRON	ce
avait	AUX	avoir
Ce	PRON	ce
acquérir	VERB	acquérir
du	ADP	de
Christopher	PROPN	Christopher
bonheur	NOUN	bonheur
,	PUNCT	,
et	CCONJ	et
excellente	ADJ	excellent
lui	PRON	lui
.	PUNCT	.
d'	ADP	de
son	DET	son
affaires	NOUN	affaire
avait	AUX	avoir
.	PUNCT	.
venait	VERB	venir
la	DET	le
d'	ADP	de
n'	ADV	n'
Christopher	PROPN	Christopher
raté	VERB	rater
une	DET	un
était	AUX	être
un	DET	un
que	PRON	que
jaloux	ADJ	jaloux
question	NOUN	question
pavillon	NOUN	pavillon
pas	ADV	pas
l'	DET	le
le	DET	le
,	PUNCT	,
baie	NOUN	baie
entre	ADP	entre
sur	ADP	sur
sur	ADP	sur
part	NOUN	part
mer	VERB	mer
jouissait	VERB	jouir
lui	PRON	lui
avait	AUX	avoir
il	PRON	il
dit	VERB	dire
colline	NOUN	colline
doigts	NOUN	doigt
imprenable	ADJ	imprenable
bonheur	NOUN	bonheur
—	PUNCT	—
de	ADP	de
vue	NOUN	vue
méritait	VERB	mériter
la	PRON	le
d'	ADP	de
une	DET	un
une	DET	un
On	PRON	on
sent	VERB	sentir
.	PUNCT	.
Diego	PROPN	Diego
Raphaël	PROPN	Raphaël
de	ADP	de
qui	PRON	qui
glissé	VERB	glisser
.	PUNCT	.
d'	ADP	de
air	NOUN	air
la	DET	le
les	DET	le
son	DET	son
sentait	VERB	sentir
Mais	CCONJ	mais
Pour	ADP	pour
que	SCONJ	que
tout	ADJ	tout
San	PROPN	San
flanc	NOUN	flanc
sa	DET	son
,	PUNCT	,
.	PUNCT	.
